name|vnum|limit_factor|limit
(no short description)|8286|3|3
a black iron cuirass|8287|2|2
a bracelet strung with silver skulls|8288|1|1
an iron collar set with a skull|8289|1|1
a segmented bronze belt|8290|2|2
a mouldering velvet shirt|8291|5|5
a tarnished bronze lamp|8292|1|1
mouldering velvet breeches|8293|5|5
a fetid brocade belt|8294|5|5
a pair of heavy iron knuckles|8295|1|1
a ragged, smoldering priest's robe|8296|1|1
a crumbling pair of lace gloves|8297|2|2
a rotted silk corset|8298|1|1
a skull brooch|8299|2|2
a drum bound with human skin|8300|15|15
the Scroll of Embers|8301|1|1
a healer's staff|8325|160|160
a crooked oak staff|8335|2|2
a ring of steel and crystal|8338|1|1
a runed silver key|8420|2|2
a spiked black helmet|8421|1|1
a spiked black breastplate|8422|1|1
a spiked black shield|8423|1|1
a pair of spiked black armguards|8424|1|1
a pair of spiked black leggings|8425|1|1
a pair of spiked black boots|8426|1|1
the Hide of Haj-Ra|8427|1|1
a clutch of white eggs|8428|2|2
the pulsing black heart of Sothmogga|8429|1|1
the blazing crown of Anirim|8430|1|1
the flaming Javelin of Anirim|8431|1|1
some blue silk sleeves|8432|1|1
a blue silk skirt|8433|5|5
the Claws of the Bear|8434|15|15
the Belt of the Kankoran|8435|1|1
the Cloak of the River|8436|1|1
the Lute of Pelloro|8437|1|1
the Ring of the Earth|8438|3|3
a shining white helm|8439|1|1
a shining white breastplate|8440|1|1
a shining white shield|8441|1|1
a shining white bracer|8442|2|2
a shining white longsword|8443|1|1
the holy symbol of Alajial|8444|1|1
a brightly painted mandolin|8445|1|1
a bright red tunic|8446|1|1
a bright green cap|8447|1|1
a pair of bright yellow hose|8448|1|1
a pair of bright purple sleeves|8449|1|1
a flail of shining blue light|8450|1|1
the ceremonial knife of the Iphesta|8453|3|3
the fang of a khil'ayum|8454|5|5
the hide of the siyyad khil'ayum|8455|25|25
the Staff of the Geomancer|8456|1|1
the dark silk robes of Gyel-Xan|8457|1|1
a rough woolen kilt, woven with bone charms|8458|1|1
a shiny golden coin|8607|1|1
a pair of pale gloves|8608|25|25
the beak of a great blue worm|8609|1|1
the hide of a great blue worm|8610|1|1
the oblong maw of a great blue worm|8611|1|1
the smoldering heart of Kzroth the Demon Lord|8612|1|1
a long-handled bone mace|8615|5|5
a sash of shadow|8616|5|5
a feathered necklace of rib bones|8617|9|9
a Kaceajka headdress|8618|5|5
a pair of decorative Kaceajka armguards|8619|5|5
a thin longsword of blued steel|8624|9|9
a glass bulb of amber oil|8625|3|3
an etched silver plaque|8626|1|1
a charcoal black vest|8638|2|2
the claw of Kzroth the demon lord|8639|1|1
a pair of charcoal black leggings|8640|2|2
a pair of charcoal black armguards|8641|2|2
a charcoal black helm|8642|2|2
a pair of charcoal black boots|8643|2|2
the Staff of the Kaceajka|8647|1|1
a frosted iceplate|8648|1|1
a silver ruby ring|8649|2|2
an enormous, fiery golden hide|8825|1|1
a shield made from a golden dragon scale|8826|1|1
a pair of silver-winged ghara-skin boots|8840|2|2
a gleaming belt of golden dragonscale fragments|8841|2|2
a beaten silver chalice inset with sapphires|8842|1|1
a chestplate made from two golden dragon scales|8848|1|1
a thick, flaming dragontooth spear|8849|1|1
a crystalline crown of purest quartz|8886|1|1
a leaf-shaped longsword inlaid with gold|8887|1|1
a test sword|8889|20|20
a sizzling crystal staff|9610|1|1
the amulet of the Library Keeper|9612|4|4
a simple, elegant cream dress|9613|2|2
a pearlescent chiffon sash|9615|6|6
pale grey robes of the Chadralnite Order|9616|100|100
a belt of braided knots|9617|10|10
a whipcord belt|9618|20|20
a pendant of the Library Keepers|9621|20|20
a knobbly, carved cane|9622|20|20
a wide belt of gleaming steel|9624|25|25
a slender stone key|9626|1|1
a short tome with the word "XOR" along its spine|9630|2|2
a small book bound in scaly black leather|9633|2|2
a small book bound in scaly black leather|9634|2|2
an etched tin plate|9635|2|2
a thin, stained note-book|9636|2|2
a small note-card|9637|2|2
a fat red book|9638|2|2
a thin book made from sheets of rosewood|9639|2|2
a worn scrapbook titled "An'athanatos, Kald"|9640|2|2
a slender, brown-covered tome|9641|2|2
a crisp vellum scroll|9642|2|2
a small gilt-edged tome|9643|2|2
a heavy maroon tome titled "Fourth Trial of Vashel"|9644|2|2
volume one of 'Gemstones of Avendar'|9645|2|2
volume two of 'Gemstones of Avendar'|9646|2|2
volume three of 'Gemstones of Avendar'|9647|2|2
a large, illuminated tome of poetry|9648|2|2
a stiff piece of lettered rawhide|9649|2|2
three tiny notecards|9650|2|2
a ripped, yellowed page|9651|2|2
a stiff card of embellished vellum|9652|2|2
a heavy, dusty dictionary|9653|2|2
a heavy, dusty dictionary|9654|2|2
a heavy, dusty dictionary|9655|2|2
a heavy, dusty dictionary|9656|2|2
a tome inlaid with mother-of-pearl|9657|2|2
a lengthy slate-grey scroll|9658|2|2
a small, grubby note-book|9659|2|2
an alchemist's workbook|9660|2|2
a small green folio|9661|2|2
a black leather book with iron fasteners|9662|2|2
a thick book titled 'The Line of Caal'|9663|2|2
a fat scroll cut from rabbitskins|9664|2|2
a fat scroll cut from rabbitskins|9665|2|2
a small prayer card|9666|2|2
a soot-stained workbook|9667|2|2
a sheet of cheap vellum|9668|2|2
a small white leather tome|9669|2|2
a sheet of cheap vellum|9670|2|2
a charred, leatherbound book|9671|2|2
a treated oilskin journal|9672|2|2
a burnished book bound in blue steel|9673|1|1
a burnished book bound in blue steel|9674|1|1
a burnished book bound in blue steel|9675|1|1
a burnished book bound in blue steel|9676|1|1
an old journal with a silver clock emblem|9677|2|2
a thick, dusty history book|9678|2|2
a bound set of pages|9679|2|2
a pure white scroll|9680|2|2
a single sheet of vellum|9681|2|2
a ponderously heavy brass-bound book|9682|2|2
a scarlet leather tome|9683|2|2
a brightly-painted children's book|9684|2|2
a brightly-painted children's book|9685|2|2
volume I of 'Races of Avendar'|9686|2|2
volume II of 'Races of Avendar'|9687|2|2
volume III of 'Races of Avendar'|9688|2|2
volume IV of 'Races of Avendar'|9689|2|2
volume V of 'Races of Avendar'|9690|2|2
volume VI of 'Races of Avendar'|9691|2|2
volume VII of 'Races of Avendar'|9692|2|2
volume VIII of 'Races of Avendar'|9693|2|2
volume IX of 'Races of Avendar'|9694|2|2
volume X of 'Races of Avendar'|9695|2|2
a small, black velvet book|9696|2|2
an ancient, brittle book|9697|2|2
a bound set of pages|9698|2|2
a small adventurer's handbook|9699|2|2
a small square tome|9700|2|2
a stone-grey treatise|9701|2|2
a crimson, ribbon-bound manuscript|9702|2|2
a single page of cured chaja hide|9703|2|2
a lavish vellum scroll|9704|2|2
a pure white codex|9705|2|2
volume XI of 'Races of Avendar'|9706|2|2
an onyx-inlaid codex|9707|2|2
an onyx-inlaid codex|9708|2|2
an onyx-inlaid codex|9709|2|2
a torn, charred scrap of parchment|9710|1|1
a weatherbeaten tome|9711|2|2
a shabby volume|9712|2|2
a sheet of parchment tacked to a board|9713|2|2
a limp cloth scroll|9714|2|2
a curl of tin|9715|2|2
a cobwebbed scroll of hide|9716|2|2
a scroll of identification|9717|2|2
a spongy acid-green scroll|9718|2|2
a long, ribbonlike scroll|9719|2|2
a dusty, runic tome|9720|2|2
a shabby volume|9721|2|2
a shabby volume|9722|2|2
a shabby volume|9723|2|2
a shabby volume|9724|2|2
an ochre waxen codex|9725|2|2
a shabby volume|9726|2|2
a rough leather book|9727|2|2
a cloth-covered book embroidered with gold|9728|2|2
a shiny, brown leather book|9729|2|2
a shabby volume|9730|2|2
an unadorned scroll tightly bound with leather|9731|2|2
a large, papery sheet of parchment|9732|1|1
a thin black leather folder|9733|2|2
a small leather book|9734|2|2
a thin black leather folder|9735|2|2
a large leather scroll|9736|2|2
a white tome 'Strength of the Spirit'|9737|2|2
a long, narrow scroll of white parchment|9738|2|2
a lavishly decorated children's book|9739|2|2
an etched card of polished steel|9740|2|2
a dusty, crumbling tome|9741|2|2
a flame-red grimoire|9742|1|1
a disc of hammered rose gold|9782|1|1
a pearl-encrusted shield|9785|5|5
a crystalline bloodstone staff|9786|3|3
a torn page|9788|1|1
a small, lead vial|9793|15|15
a pumice breastplate|10100|1|1
a carved wooden sphere|10103|10|10
a helmet adorned with spikes|10112|1|1
a ring of oak|10113|20|20
a diamond chisel|10116|1|1
a scroll penned in blue-glowing runes|10121|1|1
a grey wand|10122|5|5
a crumbling parchment|10124|1|1
(no short description)|10147|1|1
a necklace of wooden beads|10149|1|1
a mantle of smoke, illuminated with brief flickers of lightning|10200|1|1
bracers of the Krilin military|10209|30|30
a fine steel broadsword|10210|80|80
a fine fur cloak|10211|3|3
a ring of warmth|10232|4|4
a spear wrapped in white leather|10238|200|200
a granite-studded staff|10241|300|300
a hide-bound mallet|10242|300|300
a hunter's bow|10244|300|300
a fisher's spear|10245|150|150
the gleaming platinum spear, "Kan Jondno"|10246|1|1
the tapered shortsword "Biter"|10247|8|8
the tapered longsword "Howler"|10248|1|1
a sharp skinning knife|10249|200|200
a blood-edged axe|10250|12|12
a carved yew longbow|10251|4|4
a dull grey sword|10252|70|70
the long obsidian dagger "Ra or Karx"|10253|2|2
a bjorcha-gut net|10254|300|300
a gold-filigreed trophy mace|10255|15|15
a well-oiled hammer|10256|50|50
a ceremonial staff|10257|8|8
a ceremonial etched axe|10259|6|6
the salt-encrusted jaws of the Shurbul|10260|200|200
a tiger-eye pendant|10264|33|33
a glittering mica shell|10265|5|5
a glittering mica shield|10266|5|5
a pair of glittering mica greaves|10267|5|5
a pair of glittering mica vambraces|10268|5|5
a pair of glittering mica boots|10269|5|5
a glittering mica helmet|10270|5|5
a hardened leather vest|10284|400|400
a thick cloak, made of hides|10285|400|400
a navy blue potion|10287|10|10
a navy blue potion|10288|10|10
a swirling blue potion|10289|20|20
a swirling blue potion|10290|20|20
a pale blue potion|10291|20|20
a pale blue potion|10292|20|20
an old, crumbling scroll|10293|50|50
a crumpled scroll|10306|100|100
a stiff leather harness|10313|10|10
a pair of embroidered epaulettes|10314|5|5
a whipcord belt|10318|500|500
a pair of trimmed bjorcha-hide boots|10319|400|400
a shiny new longsword|10327|400|400
a youngblood's cloak|10328|40|40
a fetish-laden harness|10329|1|1
a catatonic kankoran child|10330|1|1
a tight-woven gold band|10335|30|30
a pair of bjorcha skin drums|10338|75|75
a polished brass breastplate|10339|200|200
the bones of Rakinal|10344|1|1
a Shendaer signet pendant|10349|30|30
an oversized club|10352|3|3
the tail of the great steam lizard|10366|5|5
a shield made from the hide of the great steam lizard|10367|3|3
the skull of the great steam lizard|10368|3|3
the eye of the great steam lizard|10369|2|2
a cake made with exotic herbs|10371|50|50
a stiff white leather bracer|10372|15|15
a pair of fetish-laden leggings|10374|400|400
a bracelet of carved fangs|10375|400|400
a pair of bjorcha wool earcuffs|10376|400|400
a ring set with a chip of stone|10377|400|400
a necklace of kinolmi bones|10378|400|400
a bjorcha-hide bracer|10379|400|400
a smooth soapstone fetish|10380|1|1
a series of bone earrings|10391|400|400
a necklace of woven sinew and bone|10393|400|400
a bone ring encrusted with ice|10394|400|400
a loaded six-pun|10585|1|1
a small purple cushion|10608|1|1
a cozy pair of quilted slippers|10613|10|10
a pair of tasseled black leggings|10617|3|3
a pair of gloves set with crystal|10618|1|1
a crested diamond ring|10623|15|15
a thick white sash|10624|50|50
a peacock-feather quill|10625|2|2
a long, black silk robe|10630|3|3
a pair of loose black pants|10631|3|3
the thin shortsword, "Starlight"|10632|1|1
the slender rapier, "Moonlight"|10635|1|1
a dagger inlaid with mother-of-pearl|10636|3|3
a pair of tinted spectacles|10651|3|3
a cluster of chazrethi grapes|10661|3|3
a fine ashen longbow|10738|4|4
a tough brigandine shirt|10739|5|5
the Hammer of Banning|10753|1|1
a worn robe|10786|30|30
a molded ivory breastplate inlaid with gold|10795|1|1
an ivory great helm inlaid with gold|10796|1|1
an ivory bracer inlaid with gold|10797|2|2
a pair of articulated ivory gauntlets inlaid with gold|10798|1|1
an ivory longsword with a gold hilt|10799|1|1
a scroll stamped with the Earth Guild seal|11108|10|10
a set of ancient body armor|11327|20|20
a runed morning star|11328|50|50
a scythe carved with druidical symbols|11329|20|20
a cloak of living green|11330|1|1
a jiast char root|11331|3|3
a wide golden armband|11333|95|95
a polished platinum bracer|11336|2|2
a tome of earth magic|11337|30|30
a loose black silk shirt|11338|40|40
the silver rapier, "Adil"|11339|1|1
a cat's eye pendant|11340|30|30
a Krilin breastplate|11342|50|50
a pair of bladed greaves|11343|11|11
a delicate pair of silver gloves|11345|20|20
a smoky topaz ring|11346|2|2
a jewelled belt|11347|20|20
a light chainmail coat|11348|50|50
an exquisitely crafted saber|11349|25|25
the battleaxe 'Idrgkuhn'|11350|1|1
a warlord's helm|11351|20|20
a jade teardrop earring|11352|20|20
a ka'sarinth|11353|25|25
a pair of seb'lath|11354|40|40
a regal halberd|11355|60|60
a large iron claymore|11357|60|60
a slender dagger, inset with an aquamarine|11358|80|80
a monocle of tinted blue glass|11360|1|1
a circle of perfect silver|11361|1|1
a dark-bladed dagger|11362|3|3
a robe of grey silk|11363|20|20
a golden spiral armlet|11364|35|35
a serpentine dagger|11365|30|30
a golden ch'taren harp|11366|20|20
some leggings of purple silk|11367|80|80
a shirt of red velvet|11368|30|30
a pendant bearing the seal of the house of Elinstad|11369|1|1
a mother of pearl tiara|11370|3|3
the Rod of Dimarro|11371|1|1
the signet ring of the house of Elinstad|11372|1|1
the golden robes of the Patrician|11373|1|1
the Ring of Adi|11375|1|1
the Sword of Mir-Adan|11376|1|1
the Dagger of Yazor|11377|1|1
the Crown of Nilundar|11378|1|1
the midnight opal ring of Sligura|11379|1|1
the Staff of Belerin|11380|1|1
a potion of rejuvenation|11381|3|3
an ancient scroll of sanctuary|11382|3|3
a slender metal wand|11383|2|2
a rune-scored key|11386|1|1
a small golden key|11387|1|1
a pair of heavy brigandine gauntlets|11407|2|2
a gemworker's caliper|11408|1|1
a tailored gown of rich blue velvet|11409|1|1
the Stone of Power|12000|10|10
a pair of twice-blessed gloves|12064|1|1
a ch'lonin sword|12065|1|1
a padded net|12073|100|100
a silver ring set with a pearl|12075|1|1
a gleaming white surcoat|12082|10|10
a sturdy cot|12083|3|3
a gleaming white surcoat|12084|10|10
a hanging brass censer|12085|10|10
a pure white codex|12086|1|1
a wooden relief of a twilight landscape|12100|1|1
a spiked iron cudgel|12104|5|5
a blackened razor-tipped chain|12123|2|2
a barbed net of steel wire|12124|5|5
a necklace of thick red-orange chitin|12129|1|1
a heavy square gold signet ring|12132|1|1
a dusky marble statue|12133|1|1
a primitive srryn tapestry|12136|1|1
a fitted Kor Thrandir chestplate|12143|1|1
a flashing red mote|12148|1|1
the switchblade of Bun-bun|12150|1|1
a mass of distilled power|12151|1|1
a rune-scored greatsword of dark iron|12211|2|2
a small, rune-scored dagger|12225|300|300
a pale, billowing cloak of living skin|12352|1|1
a heavy, empty chalice carved from lead|12353|100|100
a heavy chalice carved from lead|12354|100|100
a necklace of dried ch'taren entrails|12500|2|2
a band of solid obsidian|12501|1|1
a tarnished silver staff|12502|15|15
a great jaggedly serrated claymore|12503|1|1
a breastplate of reflective black steel|12504|1|1
a pair of reflective black steel armguards|12505|1|1
a pair of reflective black steel leg guards|12506|1|1
a pair of reflective black steel boots|12507|1|1
a pair of reflective black steel gauntlets|12508|1|1
an onyx and sapphire bracelet|12509|3|3
a diadem inset with a cat's eye jewel|12510|15|15
a staff formed of tenebral shadowstuff|12511|1|1
a set of shadowy black robes|12512|1|1
the Hammer of Aramril|12513|1|1
a dark iron sword with an ebony hilt|12515|100|100
an ebony-hafted iron axe|12516|100|100
a barbed whip with an ebony grip|12517|100|100
a dark iron flail|12518|100|100
a black steel helm|12519|200|200
a black steel shield|12520|200|200
a breastplate of black steel|12521|200|200
a pair of black steel armguards|12522|200|200
a pair of black steel leg guards|12523|200|200
a bejeweled robe with a hexagon clasp|12524|30|30
a pair of square-lensed spectacles|12525|40|40
a blue feather pen|12526|1|1
a runed shield made of jagged plates|12527|1|1
a runed and barbed scimitar|12528|15|15
an elegantly curved blade, 'Aeras'|12529|1|1
a short shirt of billowy black silk|12530|50|50
some leggings of billowy black silk|12531|40|40
a light, elongated buckler of black steel|12532|40|40
a necklace of black-specked pearls|12533|1|1
a narrow length of sapphire crested with diamonds|12534|3|3
a smooth oak staff with stained tips|12535|20|20
the Mantle of Joy|12540|1|1
an old, tarnished silver band|12543|1|1
a ball of sparkling ch'lonin|12544|1|1
a punching dagger|12547|20|20
a simple-looking brown tunic|12548|150|150
a pair of brown cloth sleeves|12549|60|60
a brown silk belt|12550|40|40
an ebony staff tipped with blackened sapphires|12556|1|1
a length of fine black silk|12557|200|200
a set of gauzy white and black robes|12558|1|1
a thin length of redwood|12559|20|20
a crystalline wand|12560|17|17
a long ivory wand|12561|3|3
a thin obsidian wand|12562|3|3
a thin shaft of lead|12563|20|20
a clear glass wand|12564|25|25
a long, cruelly-spiked poleaxe|12570|19|19
an apron made of thin, rubbery hide|12572|30|30
a pair of rubbery hide gloves|12573|60|60
a small marked vial|12575|2|2
a set of pale blue robes|12576|300|300
a pale green robe|12582|50|50
a pair of pale green slippers|12583|150|150
a pair of pale green gloves|12584|170|170
a golden medallion|12585|400|400
a porcelain mask|12587|100|100
a necklace of platinum discs|12588|20|20
an exceedingly sheer black dress|12589|1|1
a slender steel key|12593|150|150
a silver charm bracelet|12597|200|200
a sinew and gristle lash|12598|2|2
an obsidian-inlaid halberd|12599|15|15
a barbed iron spear|12600|50|50
an iron prison key|12602|100|100
a foul black tome|12604|1|1
a black steel key|12606|300|300
an ancient, crumbling tome|12614|20|20
a leatherbound book|12631|1|1
a dense black cube|12634|1|1
the Mantle of Joy|12635|1|1
a long-handled hammer set with sapphires|12636|1|1
a narrow length of sapphire crested with diamonds|12637|3|3
a slick, greenish ring|12638|15|15
a scroll of plague|12641|200|200
a pair of demonhide leggings|12642|30|30
a vial of void shade essence|12643|1|1
a belt with an onyx lightning bolt buckle|12645|15|15
a ring of black steel set with a garnet|12646|2|2
a pair of spined demonflesh armguards|12647|2|2
an onyx-inlaid steel wristguard|12648|5|5
a complexly runed wand|12649|1|1
a bauble of gleaming gold|12650|20|20
an elegant midnight blue robe|12651|200|200
a fetish of scorched bone|12652|20|20
an ivory dagger inlaid with gold|12656|1|1
a heavy wooden table|13501|8|8
a parched and weathered skeleton|13527|1|1
an iron-weighted net|13531|30|30
a barb-tipped javelin carved from oak|13532|10|10
a bone-hilted rapier|13533|30|30
a bone-hilted dagger|13534|30|30
a thick oak longbow|13535|35|35
a heavy-bladed handaxe|13536|30|30
a lionskin cape|13537|80|80
some thick hide armor|13538|40|40
a white steel breastplate|13539|30|30
white hide leggings|13540|25|25
a green-tinted leather shirt|13541|80|80
a necklace of silver-coated leaves|13542|50|50
a small gold nugget|13543|5|5
a small vial of clear liquid|13545|5|5
a partisan bound with strings of gold|13553|30|30
a silver-coated cane|13554|25|25
a chain whip of golden links|13555|25|25
a flail spiked with inset diamonds|13556|30|30
a small steel shield trimmed with gold|13557|40|40
a large felt hat plumed with feathers|13558|80|80
a large sapphire ring|13559|80|80
a pair of sturdy leather boots|13561|80|80
a pair of coiled-steel gauntlets|13562|60|60
a staff entwined with steel|13563|30|30
an engraved steel ring on a thin cord|13564|20|20
a low counter|13565|1|1
a thin steel key on a silver chain|13566|1|1
a sack of coins|13567|10|10
a bent-limb crutch|13572|3|3
a shawl of woven platinum thread|13573|3|3
a diamond-tipped steel pike|13578|5|5
a pale red vest|13592|1|1
an obsidian staff|13593|1|1
a small spring|13597|1|1
a large comfortable bed|13598|1|1
a map of the savannah|13599|1|1
a heavy iron key|13660|1|1
a sparking silver flail|13661|60|60
a ruby and pearl bracelet|13662|30|30
an ivory dress with burgundy trim|13663|500|500
the hide of the albino alligator|13700|3|3
a thick gator-hide vest|13703|10|10
a leather-hilted sword of sharpened bone|13706|2|2
a hide-cloak lined with teeth|13708|5|5
a ring crafted from dull golden scales|13709|6|6
an albino alligator's ribcage|13710|2|2
a bracer crafted from a darkened hide|13712|12|12
a huge, two-bladed axe, 'Eth u Esnihhl'|13714|1|1
a pair of fur-lined tattered hide sleeves|13716|200|200
a tattered shirt of mud-speckled skins|13717|190|190
a thin branch of swampwood tipped with rough-edged bone|13720|40|40
a pair of mud-covered gauntlets|13723|4|4
a crude bone-shard necklace|13724|7|7
a tightly-bound scroll|13728|1|1
a ragged cloak of black leather|13729|1|1
a slender dirk forged by Thethtil|13732|1|1
an elder's amulet of quickness|13733|3|3
an ancient sword forged by Thethtil|13734|1|1
an elder's amulet of strength|13735|2|2
a short black-marked arrow|13737|3|3
a six-tailed barbed lash|13739|2|2
an elder's amulet of the mind|13740|3|3
a wrinkled, mud-speckled scroll|13741|60|60
a pair of thick fur-trimmed hide leggings|13742|15|15
a long-handled swampwood hammer|13743|51|51
an axe carved from black swampwood|13744|5|5
a silver breastplate with black inlays|13745|5|5
a shield of pitch-black iron|13749|3|3
a crude axe with a rough-edged bone head|13750|3|3
a cracked, jawless human skull|13751|3|3
a small opal-encrusted mirror|13754|1|1
a flowing blue cape set with the crest of Earendam|13757|35|35
a spear forged of shining steel|13758|8|8
an ice-encrusted silver longsword|13759|1|1
a pair of dull midnight-scale gloves|13760|7|7
a dragonbone sabre, etched with dark runes|13761|1|1
a mess of tattered hides|13764|9|9
a two-tailed leather whip|13765|10|10
a massive shield crafted of the albino alligator hide|13766|3|3
a short yellow-marked arrow|13768|11|11
a pair of earthen armguards|13769|8|8
the Gem of Siyauz'grak|13770|1|1
a huge stone hammer|13771|5|5
a pair of rune-engraved bone armguards|13772|1|1
a thin grey-scaled hide of an alligator|13773|15|15
a circlet of braided serpents|13774|1|1
a purple-marked straight arrow|13775|4|4
a slick, blackish-purple tongue|13777|2|2
an ice-encrusted steel axe|13779|3|3
a short, serrated bone knife|13780|3|3
a tattered mass of stitched hides|13781|1|1
a silver pendant inset with a sapphire|13782|3|3
a bracer of woven thorn-vines|13783|4|4
a charred piece of parchment|13784|15|15
a pair of heavy bone-woven leather gloves|13785|4|4
some tattered, grey rags|13788|10|10
a crimson-veined bone axe|13789|3|3
a set of dull, rune-scored iron bands|13791|1|1
a pair of ruby-studded leather gauntlets|13792|3|3
a shield of jagged bone|13793|4|4
a dull silver bracer|13794|5|5
a pair of tattered black gloves|13796|10|10
a tarnished iron dagger|13797|20|20
a crude sword of broken-edged bone|13799|3|3
a pair of toeless, mud-soaked hide boots|13803|400|400
a bone mask crafted from an alligator skull|13804|1|1
a pair of long, red-orange silken gloves|13806|1|1
a leather neckband woven with srryn bone shards|13808|11|11
a green-marked barbed arrow|13809|5|5
a vicious-looking jagged bone poleaxe, "Reaver"|13811|1|1
a leather-hilted bone dagger|13812|5|5
a pair of black-scaled gloves|13813|1|1
a charred piece of parchment|13817|8|8
a small black key|13818|1|1
an onyx medallion inscribed with a serpent|13819|1|1
a black-stemmed otsliyos flower|13820|5|5
the rotting, skeletal fists of Siyauz'grak|13821|1|1
a crude flail of bone shards|13822|50|50
an odd-looking green berry|13824|65|65
a thick patching of fur-lined hides|13825|15|15
a thick hide of plated black scales|13827|3|3
a broken-edged bone handaxe|13828|7|7
a pair of thick, well-made hide boots|13829|2|2
a tarnished copper wand|13830|40|40
a slender oaken staff, topped with a polished sapphire|13833|1|1
the slender black dagger, 'Trze-Kuol'|13835|1|1
a pair of bone rear-claw extensions|13836|15|15
a wickedly spiked mace of bone, "Suffering"|13837|1|1
a wide gold ring inscribed with a serpent|13838|1|1
an ice-encrusted silver dagger|13839|3|3
a huge, cracked skull covered with rotting scales|13840|1|1
a warped test object, made by Sythrak|13841|1|1
a pair of gauntlets crafted from thick, black scales|13843|1|1
a band of blood-speckled hide|13844|30|30
the pitch-black iron sword, "Blight"|13845|1|1
the skull of the albino alligator|13846|2|2
a pair of green phase-silk sleeves|13847|1|1
a tattered piece of parchment|13848|10|10
a slender black-wooded staff|13849|15|15
a pair of bone hand-claw extensions|13850|3|3
a silver belt bearing a scabbarded great-sword|15003|1|1
a long black coat|15004|1|1
a pair of loose white leggings|15005|1|1
the Shard of Aramayis|15006|1|1
the Sigil of the Shadow Mask|15008|1|1
a vial of consuming powder|15012|1|1
a chest of polished bronze|15020|1|1
a red holly berry|15061|300|300
a necklace of wolves' teeth|15067|20|20
an ashen spear|15079|10|10
a huge iron sword|15083|20|20
the corpse of a filthy ogre|15090|1|1
a pair of seven league boots|15095|3|3
a bright red mushroom|15098|12|12
a crumpled letter|15103|1|1
a key of crooked bone|15104|2|2
a small rubbery egg|15107|5|5
a forged iron bastard sword|15110|40|40
a war axe|15111|25|25
an iron warhammer|15112|25|25
a wolfskin cloak|15114|20|20
a knotted wooden ring|15118|150|150
a vial of opalescent fluid|15120|50|50
a vial of shadowy liquid|15121|70|70
a vial of dusky red fluid|15122|150|150
a vial of milky fluid|15124|100|100
a vial of greenish, red-flecked fluid|15125|50|50
a hooded green cloak|15134|300|300
a painted drum|15137|300|300
a pale dagger|15139|50|50
a crescent moon clasp|15140|100|100
a brass lantern|15141|60|60
a silver witch's dagger|15142|30|30
a black witch's dagger|15143|30|30
a vest of filmy, grey silk|15146|10|10
a patchwork robe|15150|10|10
a silver plum|15151|15|15
a slimy black candle|15152|15|15
a sturdy, iron-studded leather vest|15153|40|40
an old pair of iron-capped leather boots|15154|40|40
a pair of leather-fronted breeches|15155|70|70
a pair of stag-hide boots|15164|35|35
a row of falcon feathers|15167|20|20
a string of dragon-bone hair beads|15169|15|15
an archer's hand-guard|15170|100|100
a ring of quartz|15172|10|10
a tiny crystal sphere|15173|10|10
a vial of spirit wolf essence|15175|10|10
a tooth of black stone|15178|50|50
a leather jerkin sewn with wolves' teeth|15182|50|50
a stone of disruption|15185|20|20
the Necklace of Dreams|15200|1|1
the Collar of Tzet-Sabanthe|15201|1|1
the Scale of the Void Dragon|15202|1|1
the Harp of Elanthe|15207|1|1
an ancient, rune-traced cloak|15209|1|1
a black serpent, formed into a circlet|15252|1|1
a spider-shaped pendant|15260|1|1
a hexagonal crystal pendant|15261|1|1
a twisted, peeling hide of black flesh|15265|1|1
the staff of binding|15266|1|1
a black dragonhelm|15267|1|1
a tall crystal mirror|15268|1|1
an articulated silver claw|15269|1|1
a sleek, flowing dress of carmine and black|15270|1|1
a silver pendant engraved with the Mark of the Siren|15271|1|1
a plain brass ring|15274|1|1
a tenebrous, silken hood|15276|1|1
a single flower of black yarrow|15279|300|300
a Lothaju Blade|15300|10|10
a Lothaju dagger|15301|10|10
athanador's Hourglass|15302|1|1
the Flute of the Four Winds|15303|1|1
a shadowy, phase-silk cloak|15305|5|5
a wand of frost|15307|50|50
a staff of conjuration|15308|5|5
a garnet egg|15309|3|3
a Helm of Warding|15310|2|2
a huge iron mace|15910|3|3
the skull of a hydra|15912|7|7
the Orb of Dreams|15914|1|1
a dagger inset with a single diamond|15923|1|1
<------>|17000|1|1
a bulky white robe|17010|150|150
an ice-encrusted staff|17020|2|2
a thick blue cloak|17021|1|1
a shining gold-laced spear|17022|1|1
a crested pendant of the Earendam guard|17023|2|2
the ancient holy sword, "Shadrist"|17024|1|1
a burnished iron crown|17025|1|1
a burnished iron breastplate|17026|1|1
a pair of burnished iron greaves|17027|1|1
a burnished iron bracer|17028|2|2
a shield of burnished iron|17029|1|1
a darkened platinum breastplate|17030|1|1
a darkened pair of platinum armguards|17031|1|1
a darkened pair of platinum gauntlets|17032|1|1
a darkened pair of platinum leggings|17033|1|1
a darkened pair of platinum boots|17034|1|1
the Mantle of Balance|17035|1|1
a darkened platinum mace, "Denaar"|17036|1|1
a gnarled oaken staff|17037|2|2
a golden insignia ring|17039|4|4
a gold-trimmed rapier|17040|1|1
an ice-encrusted mace|17042|3|3
a black-hilted stiletto|17043|7|7
a pair of filthy leather boots|17065|1|1
a studded iron key|17072|10|10
a broken shaft|17076|1|1
